Hardware by Part,,,,,,
Part,Type,Head,Size,Len (mm),Quantity,Link
Robot Clamp,Screw,Socket,M5,20,2,https://www.mcmaster.com/91290A242
Robot Clamp,Nut,,M5,,2,https://www.mcmaster.com/90592A095/
Grabber Clamp,Screw,Socket,M5,10,2,https://www.mcmaster.com/91290A224/
Grabber Clamp,Screw,Socket,M5,12,4,https://www.mcmaster.com/91290A228
Grabber Clamp,Screw,Socket,M5,20,1,https://www.mcmaster.com/91290A242
Grabber Clamp,Nut,,M5,,5,https://www.mcmaster.com/90592A095/
Phone Holder,Screw,Socket,M5,40,1,https://www.mcmaster.com/91290A258/
Phone Holder,Nut,,M5,,1,https://www.mcmaster.com/90592A095/
Grabber Ends,Screw,Socket,M3,8,2,https://www.mcmaster.com/91290A113
Grabber Ends,Washer,,M3,,2,https://www.mcmaster.com/93475A210
Grabber Ends,Nut,,M3,,2,https://www.mcmaster.com/90592A085
,,,,,,
,,,,,,
"Full Build (2 phone holders, 1 robot clamp, 1 grabber clamp, 2 sets of grabber ends",,,,,,
Type,Head,Size,Len (mm),Quantity,Link,
Screw,Socket,M5,20,3,https://www.mcmaster.com/91290A242,
Nut,,M5,,8,https://www.mcmaster.com/90592A095/,
Screw,Socket,M5,10,2,https://www.mcmaster.com/91290A224/,
Screw,Socket,M5,12,4,https://www.mcmaster.com/91290A228,
Screw,Socket,M5,40,1,https://www.mcmaster.com/91290A258/,
Screw,Socket,M3,8,2,https://www.mcmaster.com/91290A113,
Washer,,M3,,2,https://www.mcmaster.com/93475A210,
Nut,,M3,,2,https://www.mcmaster.com/90592A085,
,,,,,,
Other materials,,,,,,
Gorilla Gel Glue,Gorilla Glue: https://www.amazon.com/Gorilla-7700108-2-Pack-Super-Clear/dp/B00OAAUAX8?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=ATVPDKIKX0DER&th=1,,,,,
4 mm Allen Key,single: https://www.amazon.com/Eklind-14608-Long-Hex-L-Key/dp/B000GAQA4O/ref=sr_1_5?crid=104RP0Q5A7WJA&keywords=4mm+allen+key&qid=1678134014&sprefix=4mm+allen+key%2Caps%2C74&sr=8-5,10 pc: https://www.amazon.com/HONJIE-Wrench-Shaped-Hexagon-Repairing/dp/B08LN9ZC1V/ref=sxin_16_ac_d_mf_brs?ac_md=4-2-SE9OSklF-ac_d_mf_brs_brs&content-id=amzn1.sym.1ad31f34-ba12-4dca-be4b-f62f7f5bb10d%3Aamzn1.sym.1ad31f34-ba12-4dca-be4b-f62f7f5bb10d&crid=104RP0Q5A7WJA&cv_ct_cx=4mm+allen+key&keywords=4mm+allen+key&pd_rd_i=B08LN9ZC1V&pd_rd_r=5f520ddb-ad36-42ba-95fc-6d2d6dcde62c&pd_rd_w=m5NlY&pd_rd_wg=5jyRE&pf_rd_p=1ad31f34-ba12-4dca-be4b-f62f7f5bb10d&pf_rd_r=QMPQ3Q6GZN9SABDM4DVS&qid=1678134014&sprefix=4mm+allen+key%2Caps%2C74&sr=1-3-8b2f235a-dddf-4202-bbb9-592393927392,,,,
wrench for 3mm nuts,https://www.amazon.com/tnicet-Universal-Double-ended-Self-tightening-Adjustable/dp/B0BNZZCPHT/ref=sr_1_6?crid=K3XA45HR177O&keywords=Universal%2BTorx%2BWrench%2B3%2Bmm&qid=1678133874&sprefix=universal%2Btorx%2Bwrench%2B3%2Bmm%2Caps%2C61&sr=8-6&th=1,,,,,
oomoo 25 silicone rubber,https://www.amazon.com/Smooth-OOMOO-25-Curing-Silicone/dp/B01C4YQ4TU/ref=sr_1_3?crid=SFQQ1WZFF7AI&keywords=oomoo+25&qid=1678134444&sprefix=oomoo+25%2Caps%2C122&sr=8-3,,,,,
